row_num,ocr_text,decision,reason,original_assessment,failure_pattern,pathway_group
17401,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17459,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17461,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17516,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17518,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17578,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17580,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17640,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17642,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17702,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17704,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17710,TELLZY ACH 40/6.25,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17760,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17762,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17822,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17824,MODERN SALES AGENCY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:DISTRIBUTION_ENTITY
17835,LAST MONTH SALE JULY,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
17956,SUSTIMAX 4T(GKM NEW PHARMA),MAYBE_PRODUCT,default_no_evidence,CANDIDATE FOR 1,INVALIDATED_NO_PHARMA,FALLBACK:AMBIGUOUS_NO_BRAND
17970,ROSUVAS EZ10 10T,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21682,ST Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21683,Sale Return Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21725,ST Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21726,Sale Return Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21764,ST Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21765,Sale Return Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21800,ST Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21801,Sale Return Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21833,ST Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21834,Sale Return Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21840,ST Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21841,Sale Return Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21851,ST Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
21852,Sale Return Value,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
22332,TREDICALFT 100MG10S,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
22333,TREDICALFT 50MG10S,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
22443,CHHINDWARA PHARMACEUTICALS,MAYBE_PRODUCT,default_no_evidence,CANDIDATE FOR 1,COMPANY_ENTITY,FALLBACK:PHARMA_ENTITY
22444,STATEMENT PERIOD,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
22463,CHHINDWARA PHARMACEUTICALS,MAYBE_PRODUCT,default_no_evidence,CANDIDATE FOR 1,COMPANY_ENTITY,FALLBACK:PHARMA_ENTITY
22464,STATEMENT PERIOD,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
23074,M/S ECONOMIC TRADERS,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
23119,M/S ECONOMIC TRADERS,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
23169,M/S ECONOMIC TRADERS,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
23214,M/S ECONOMIC TRADERS,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
23838,Mfg. NUCRON PHARMACEUTICAL LTD,1,version_lag_already_caught,CANDIDATE FOR 1,COMPANY_ENTITY,GARBAGE:pattern_garbage
24503,GARHWAL DRUG AGENCIES PVT. LTD.,1,version_lag_already_caught,KEEP REVIEW,INSUFFICIENT_EVIDENCE,GARBAGE:pattern_garbage
24607,RAMUKA INCORPORATION,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
24628,VOGLI TRIO 0.3,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
29124,DETTOL ANTISEPTIC LI,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
29295,LAMEPIL MR 100M,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
29307,LIQUID BASED HA UNIT,MAYBE_PRODUCT,default_no_evidence,CANDIDATE FOR 1,INVALIDATED_NO_PHARMA,FALLBACK:AMBIGUOUS_NO_BRAND
29470,STAYFREE SECURE,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
29861,EIRN001925 Dtd. 17/08/26,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
29862,EIRN001926 Dtd. 17/08/26,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
30556,zzzINFEN-P-SPAS TA 1*,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
30577,CARDERON-X-200 TA 1STP,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
30725,ELOVERA CRM 1,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
30726,GETLITE CRM 1,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
31650,EMPRI10 10,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
32113,ITEM DESCRIPTION PACK/SIZE,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
32148,ITEM DESCRIPTION PACK/SIZE,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
33277,SECOND FLOORABOVE VINOD,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
33303,SECOND FLOORABOVE VINOD,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
33332,SECOND FLOORABOVE VINOD,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
33390,SECOND FLOORABOVE VINOD,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
33670,ZZZZZZ 4024,1,zzzzzz_ocr_placeholder,CANDIDATE FOR 1,NO_VOWEL_OCR_NOISE,FALLBACK:AMBIGUOUS_NO_BRAND
33671,ZZZZZZ 4049,1,zzzzzz_ocr_placeholder,CANDIDATE FOR 1,NO_VOWEL_OCR_NOISE,FALLBACK:AMBIGUOUS_NO_BRAND
34171,AUGEOZ 1,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
34228,ZOLINEG 1MIU 1,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
34229,ZOLINEG 2 MIU 1,MAYBE_PRODUCT,default_no_evidence,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:AMBIGUOUS_NO_BRAND
34483,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34486,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34489,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34493,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34496,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34499,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34502,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34505,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34516,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34519,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34544,Purchase 5168.82 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34547,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34559,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34562,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34565,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34569,Purchase 515.96 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34582,Purchase 3136.95 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34595,Purchase 1228.74 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34598,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34604,Purchase 178.36 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34607,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34617,Purchase 1787.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34623,Purchase 522887.67 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34627,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34630,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34644,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34648,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34652,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34655,Purchase 957.96 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34658,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34661,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34664,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34689,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34703,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34707,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34710,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34713,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34744,Purchase 4735.74 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34747,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34753,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34757,Purchase 9054.80 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34785,Purchase 420837.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34788,Purchase 0.00 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
34804,Purchase 1460.67 Purchase Return 0.00,1,financial_aggregate,KEEP REVIEW,INSUFFICIENT_EVIDENCE,FALLBACK:STRUCTURAL_KW
