row_num,ocr_text,current_classification,simulated_result,review_pathway,pathway_group,matched_brand,match_type,invalidation_reason,fuzzy_garbage_match,is_maybe_product,pattern_matched,garbage_assessment,assessment_reason,assessment_confidence,failure_pattern
3838,GALACTGRANULESE1X400 G,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
3887,SYLATE 500 NEW 1X10TAB,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,NEW_without_NORMET,,False,,CANDIDATE FOR 1,brand invalidated (NEW_without_NORMET) + no pharma signal,MODERATE,INVALIDATED_NO_PHARMA
4495,Totals 175972.00 287469.00 152052.00 427.49,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
4519,Totals 175972.00 287469.00 152052.00 427.49,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
4593,Totals 71828.00 157995.00 123529.00 24815.77,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
4825,HAJI ENTERPRISES,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
4864,HAJI ENTERPRISES,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
4908,HAJI ENTERPRISES,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
4952,HAJI ENTERPRISES,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
4996,HAJI ENTERPRISES,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
5133,Totals 24865.00 65337.00 17381.11,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
5243,DAPAGZAM10/1000 10,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
5638,ZOLINEG 1MIU INJECTION 1MIU,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
6519,MAHESH PHARMA,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,CANDIDATE FOR 1,company-like name without pharma dosage form,MODERATE,PHARMA_COMPANY_NAME
6679,DYDROFEMTAB,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
6680,EMDYDROTAB,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
6683,ENHEMO1000MGINJECTION,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
6684,ENHEMO500MGINJECTION,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
6687,FEMZACTCAPS,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
6689,MVISTACAPS,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
6693,OROFERCAPS,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
7949,BAREILLY PHARMACEUTICALS PVT LTD,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(PVT\.?\s+)?LTD\.?\s*$,CANDIDATE FOR 1,company/entity keyword (PHARMACEUTICALS/BIOPHARMA/HOSPITAL etc.),STRONG,COMPANY_ENTITY
8008,BAREILLY PHARMACEUTICALS PVT LTD,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(PVT\.?\s+)?LTD\.?\s*$,CANDIDATE FOR 1,company/entity keyword (PHARMACEUTICALS/BIOPHARMA/HOSPITAL etc.),STRONG,COMPANY_ENTITY
8067,BAREILLY PHARMACEUTICALS PVT LTD,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(PVT\.?\s+)?LTD\.?\s*$,CANDIDATE FOR 1,company/entity keyword (PHARMACEUTICALS/BIOPHARMA/HOSPITAL etc.),STRONG,COMPANY_ENTITY
10396,ZZZZZZ 5015,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,CANDIDATE FOR 1,all long alpha tokens lack vowels: ['ZZZZZZ'] → OCR noise,MODERATE,NO_VOWEL_OCR_NOISE
10987,PHARMA NXT,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,CANDIDATE FOR 1,company-like name without pharma dosage form,MODERATE,PHARMA_COMPANY_NAME
11014,NUSURGE,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,CANDIDATE FOR 1,starts with known Emcure company/division prefix,STRONG,COMPANY_DIVISION_PREFIX
11029,PHARMA,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,CANDIDATE FOR 1,company-like name without pharma dosage form,MODERATE,PHARMA_COMPANY_NAME
11088,NUCRON,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,CANDIDATE FOR 1,starts with known Emcure company/division prefix,STRONG,COMPANY_DIVISION_PREFIX
11149,FLORINA,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
12099,LAXIHUSK GRANULES,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
14469,EMC IVA,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
14722,ROOTSOFT HARD WA,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
16992,NUCRON,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,CANDIDATE FOR 1,starts with known Emcure company/division prefix,STRONG,COMPANY_DIVISION_PREFIX
17284,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17286,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17342,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17344,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17399,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17401,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17459,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17461,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17516,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17518,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17578,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17580,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17640,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17642,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17702,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17704,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17710,TELLZY ACH 40/6.25,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17760,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17762,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17822,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17824,MODERN SALES AGENCY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:DISTRIBUTION_ENTITY,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17835,LAST MONTH SALE JULY,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
17956,SUSTIMAX 4T(GKM NEW PHARMA),REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,NEW_without_NORMET,,False,,CANDIDATE FOR 1,brand invalidated (NEW_without_NORMET) + no pharma signal,MODERATE,INVALIDATED_NO_PHARMA
17970,ROSUVAS EZ10 10T,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21682,ST Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21683,Sale Return Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21725,ST Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21726,Sale Return Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21764,ST Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21765,Sale Return Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21800,ST Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21801,Sale Return Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21833,ST Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21834,Sale Return Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21840,ST Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21841,Sale Return Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21851,ST Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
21852,Sale Return Value,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
22332,TREDICALFT 100MG10S,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
22333,TREDICALFT 50MG10S,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
22443,CHHINDWARA PHARMACEUTICALS,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:PHARMA_ENTITY,,,,,False,,CANDIDATE FOR 1,company/entity keyword (PHARMACEUTICALS/BIOPHARMA/HOSPITAL etc.),STRONG,COMPANY_ENTITY
22444,STATEMENT PERIOD,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
22463,CHHINDWARA PHARMACEUTICALS,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:PHARMA_ENTITY,,,,,False,,CANDIDATE FOR 1,company/entity keyword (PHARMACEUTICALS/BIOPHARMA/HOSPITAL etc.),STRONG,COMPANY_ENTITY
22464,STATEMENT PERIOD,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
23074,M/S ECONOMIC TRADERS,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
23119,M/S ECONOMIC TRADERS,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
23169,M/S ECONOMIC TRADERS,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
23214,M/S ECONOMIC TRADERS,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
23838,Mfg. NUCRON PHARMACEUTICAL LTD,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(PVT\.?\s+)?LTD\.?\s*$,CANDIDATE FOR 1,company/entity keyword (PHARMACEUTICALS/BIOPHARMA/HOSPITAL etc.),STRONG,COMPANY_ENTITY
24503,GARHWAL DRUG AGENCIES PVT. LTD.,REVIEW,1,GARBAGE:pattern_garbage,GARBAGE:pattern_garbage,,,,,False,\b(AGENCIES?|DISTRIBUTORS?|MEDICO[SE]?|CORPORATION|ENTERPRISES?|TRADERS?|TRADING)\b,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
24607,RAMUKA INCORPORATION,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
24628,VOGLI TRIO 0.3,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
29124,DETTOL ANTISEPTIC LI,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
29295,LAMEPIL MR 100M,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,,,False,,KEEP REVIEW,insufficient evidence; could be product or ambiguous OCR,LOW,INSUFFICIENT_EVIDENCE
29307,LIQUID BASED HA UNIT,REVIEW,REVIEW,NO_MATCH_FALLBACK,FALLBACK:AMBIGUOUS_NO_BRAND,,,fuzzy→EXACT_ONLY(NUNIT),,False,,CANDIDATE FOR 1,brand invalidated (fuzzy→EXACT_ONLY(NUNIT)) + no pharma signal,MODERATE,INVALIDATED_NO_PHARMA
